                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.295,                  3.866,                 1.1993,                 0.0341,                0.10865,                0.02232,                0.01242,                 1.3479,                 4.2255,                 1.1466,              7.145e-05,              7.145e-05,              7.145e-05
                      1,                 1.1569,                 2.3614,                 1.0882,                0.73381,                0.79272,                0.82598,                0.69072,                0.90228,                 1.4671,                0.85184,             0.00015641,             0.00015641,             0.00015641
                      2,                0.96941,                0.99051,                 0.9241,                0.87689,                0.81187,                0.91603,                0.72344,                0.88683,                 1.4911,                0.84058,             0.00024052,             0.00024052,             0.00024052
                      3,                0.91453,                0.77413,                0.89157,                 0.9135,                0.91306,                0.96514,                0.77151,                0.86155,                0.83882,                0.84336,             0.00032379,             0.00032379,             0.00032379
                      4,                0.92205,                0.74666,                0.89114,                  0.919,                0.94069,                 0.9614,                0.76826,                0.88487,                0.77645,                0.86216,              0.0004062,              0.0004062,              0.0004062
                      5,                0.92699,                0.74595,                0.90373,                0.94123,                0.91581,                0.96591,                0.76994,                0.85098,                0.80206,                   0.85,             0.00048777,             0.00048777,             0.00048777
                      6,                0.93262,                 0.6822,                0.87955,                0.73958,                0.92917,                0.96366,                0.73822,                0.88558,                 1.2696,                0.85728,             0.00056849,             0.00056849,             0.00056849
                      7,                0.87895,                0.63983,                0.86445,                0.76274,                0.89426,                0.95614,                0.76119,                0.83692,                0.74741,                0.85238,             0.00064836,             0.00064836,             0.00064836
                      8,                0.93898,                0.72177,                  0.892,                0.79474,                0.88916,                0.94396,                0.74954,                0.87631,                0.88176,                0.86605,             0.00072738,             0.00072738,             0.00072738
                      9,                0.85343,                0.64081,                0.87893,                0.95303,                0.95238,                0.97344,                0.77362,                0.89908,                0.69513,                0.84486,             0.00080555,             0.00080555,             0.00080555
                     10,                0.86553,                0.63073,                0.88855,                0.97685,                0.98529,                0.98313,                0.79251,                0.81258,                0.56917,                0.83594,             0.00088287,             0.00088287,             0.00088287
                     11,                 0.8098,                0.56384,                 0.8654,                0.98555,                0.98486,                0.99043,                0.79416,                0.84705,                0.56658,                0.83832,             0.00095935,             0.00095935,             0.00095935
                     12,                0.85813,                0.57219,                0.87354,                0.97219,                0.97796,                0.98651,                0.79851,                0.81445,                0.58174,                0.83682,               0.001035,               0.001035,               0.001035
                     13,                0.81511,                0.53317,                0.85866,                0.89378,                0.97024,                0.98247,                 0.7747,                0.83283,                0.86444,                0.84722,              0.0011097,              0.0011097,              0.0011097
                     14,                0.83927,                0.57452,                0.88511,                0.90913,                0.97619,                0.98348,                0.79746,                0.79807,                0.78298,                0.84153,              0.0011837,              0.0011837,              0.0011837
                     15,                0.82823,                0.58415,                0.86868,                 0.9761,                0.98039,                0.97834,                 0.7743,                0.83153,                0.60206,                0.84532,              0.0012568,              0.0012568,              0.0012568
                     16,                0.87802,                0.62242,                0.86292,                0.94398,                0.96774,                0.98068,                0.79356,                0.81866,                0.65981,                0.84444,              0.0013158,              0.0013158,              0.0013158
                     17,                0.85128,                0.61944,                 0.8645,                0.94092,                0.94888,                0.98516,                0.80741,                0.80714,                0.72423,                0.84578,              0.0013158,              0.0013158,              0.0013158
                     18,                0.84048,                0.61663,                0.88426,                0.85045,                0.90056,                0.96407,                 0.7882,                0.79088,                0.67527,                0.84079,              0.0013087,              0.0013087,              0.0013087
                     19,                0.79915,                0.56703,                0.86204,                0.90803,                0.93739,                0.97056,                0.76754,                0.82372,                0.74495,                0.84377,              0.0013017,              0.0013017,              0.0013017
                     20,                0.79955,                0.56982,                0.87344,                0.88445,                0.94234,                0.96205,                0.76524,                0.83509,                0.68259,                0.84487,              0.0012946,              0.0012946,              0.0012946
                     21,                0.82535,                0.54989,                0.86913,                0.84413,                 0.9479,                0.98463,                0.80835,                0.78475,                0.71191,                0.84094,              0.0012875,              0.0012875,              0.0012875
                     22,                0.80155,                0.53441,                0.86779,                0.74921,                0.92386,                0.98009,                0.80822,                0.80791,                 0.6837,                0.84665,              0.0012805,              0.0012805,              0.0012805
                     23,                 0.8085,                0.49122,                0.86299,                0.91569,                0.95674,                0.97801,                0.80371,                0.78733,                 0.5803,                0.84605,              0.0012734,              0.0012734,              0.0012734
                     24,                0.79224,                0.51564,                0.86487,                0.89246,                0.92997,                0.95765,                 0.7722,                0.80344,                0.59926,                0.85135,              0.0012663,              0.0012663,              0.0012663
                     25,                0.83004,                0.50394,                0.87144,                0.87187,                0.93801,                0.97363,                0.78916,                0.78315,                0.60771,                0.83177,              0.0012592,              0.0012592,              0.0012592
                     26,                0.80052,                0.50446,                0.86475,                0.94153,                0.97109,                0.98121,                0.80355,                0.74904,                0.56344,                0.82903,              0.0012522,              0.0012522,              0.0012522
                     27,                   0.79,                0.49412,                0.86465,                0.98683,                0.98039,                0.98694,                0.83567,                 0.7042,                0.48218,                0.81468,              0.0012451,              0.0012451,              0.0012451
                     28,                0.76501,                 0.4669,                0.85692,                0.98368,                0.97747,                0.98854,                0.83647,                0.72811,                0.47806,                0.81224,               0.001238,               0.001238,               0.001238
                     29,                0.76712,                0.46493,                0.86003,                0.96837,                0.96889,                 0.9884,                0.83066,                 0.7507,                 0.5137,                0.82098,              0.0012309,              0.0012309,              0.0012309
                     30,                0.76212,                0.46289,                0.85927,                0.95511,                0.97308,                0.99033,                0.83238,                0.72234,                0.49245,                0.81292,              0.0012239,              0.0012239,              0.0012239
                     31,                0.72323,                0.44575,                0.83614,                0.97129,                0.97751,                 0.9917,                0.83683,                0.69999,                0.46872,                0.80967,              0.0012168,              0.0012168,              0.0012168
                     32,                0.73622,                0.44306,                  0.851,                  0.986,                0.97699,                0.99113,                 0.8389,                0.70748,                0.45119,                0.81025,              0.0012097,              0.0012097,              0.0012097
                     33,                0.75287,                0.44755,                0.85919,                0.98863,                0.96999,                0.99066,                0.85197,                0.70667,                0.45939,                0.80913,              0.0012026,              0.0012026,              0.0012026
                     34,                0.75357,                0.46994,                0.84166,                0.98154,                0.98135,                0.99075,                0.83153,                0.76082,                0.47211,                0.81541,              0.0011956,              0.0011956,              0.0011956
                     35,                0.74085,                0.44532,                 0.8539,                0.97891,                0.97397,                0.99036,                0.84383,                0.71667,                0.43848,                0.81822,              0.0011885,              0.0011885,              0.0011885
                     36,                0.77606,                0.46733,                0.84636,                0.96686,                0.97263,                 0.9904,                0.83251,                0.72036,                0.45061,                0.82626,              0.0011814,              0.0011814,              0.0011814
                     37,                0.76617,                0.45277,                0.86187,                0.95383,                0.97487,                0.99149,                0.83267,                0.73746,                0.46462,                0.82067,              0.0011744,              0.0011744,              0.0011744
                     38,                0.81477,                0.45819,                0.84865,                0.96869,                0.97427,                0.99025,                0.82925,                0.72998,                0.45427,                0.82795,              0.0011673,              0.0011673,              0.0011673
                     39,                0.80268,                 0.4688,                0.85446,                0.98514,                0.97852,                0.99245,                 0.8381,                0.70419,                0.42351,                0.81387,              0.0011602,              0.0011602,              0.0011602
                     40,                0.75779,                0.47404,                0.84682,                0.97444,                0.97246,                0.99229,                0.85099,                0.69214,                0.42231,                0.81298,              0.0011531,              0.0011531,              0.0011531
                     41,                0.75893,                0.45216,                0.84151,                0.95879,                0.98156,                0.99179,                0.85285,                0.69165,                 0.4233,                0.80955,              0.0011461,              0.0011461,              0.0011461
                     42,                0.72495,                0.44505,                0.84668,                0.95901,                0.97847,                0.99254,                0.85658,                0.69958,                0.42117,                0.80924,               0.001139,               0.001139,               0.001139
                     43,                0.70829,                0.44389,                0.85257,                 0.9519,                0.98851,                0.99021,                0.86079,                0.68122,                0.42161,                0.80779,              0.0011319,              0.0011319,              0.0011319
                     44,                0.73483,                0.45517,                0.84793,                0.94762,                0.98695,                0.99228,                0.86357,                 0.6812,                0.43115,                0.80836,              0.0011248,              0.0011248,              0.0011248
                     45,                0.73651,                0.45204,                 0.8456,                0.90848,                 0.9747,                0.99105,                0.85118,                0.68441,                0.44975,                0.80994,              0.0011178,              0.0011178,              0.0011178
                     46,                0.74376,                0.42739,                0.84888,                0.89864,                0.97752,                0.98829,                 0.8467,                0.68321,                0.47336,                0.80992,              0.0011107,              0.0011107,              0.0011107
                     47,                0.73693,                0.44672,                0.86053,                0.87872,                 0.9712,                0.98982,                0.83381,                0.71241,                0.48869,                0.81867,              0.0011036,              0.0011036,              0.0011036
                     48,                0.76271,                0.46108,                0.84471,                0.91032,                0.96963,                0.99014,                0.84018,                0.74453,                0.47035,                0.82189,              0.0010965,              0.0010965,              0.0010965
                     49,                0.73422,                0.45135,                0.84775,                0.98102,                0.95932,                0.99172,                0.86943,                0.65193,                0.42541,                0.80701,              0.0010895,              0.0010895,              0.0010895
                     50,                0.70893,                0.44164,                0.84958,                0.98528,                0.98198,                0.99215,                0.87398,                0.66279,                0.40387,                0.80572,              0.0010824,              0.0010824,              0.0010824
                     51,                 0.6888,                0.41265,                0.83798,                0.99296,                0.98231,                0.99188,                0.86552,                 0.6652,                0.41289,                0.80773,              0.0010753,              0.0010753,              0.0010753
                     52,                0.69037,                0.41783,                0.83316,                0.99268,                0.98248,                0.99191,                0.86664,                0.65976,                0.40629,                0.80705,              0.0010682,              0.0010682,              0.0010682
                     53,                0.67969,                0.41185,                0.83737,                0.97574,                0.98481,                0.99066,                0.85746,                0.62976,                0.39357,                0.80685,              0.0010612,              0.0010612,              0.0010612
                     54,                0.69493,                0.41632,                0.84348,                0.99464,                0.98459,                0.99247,                0.86433,                0.65106,                0.39982,                0.80648,              0.0010541,              0.0010541,              0.0010541
                     55,                0.70263,                0.40064,                0.84072,                0.99434,                0.98541,                 0.9929,                0.86707,                0.65153,                0.40602,                0.80847,               0.001047,               0.001047,               0.001047
                     56,                0.69011,                0.41319,                0.83907,                0.99425,                0.98544,                0.99337,                0.87333,                0.65196,                0.40038,                0.80552,                0.00104,                0.00104,                0.00104
                     57,                0.66948,                0.40855,                0.83898,                0.99216,                0.98461,                0.99303,                0.88417,                0.62457,                0.38408,                0.79933,              0.0010329,              0.0010329,              0.0010329
                     58,                0.67313,                0.39904,                0.83627,                0.99272,                0.98389,                0.99315,                0.89075,                0.61278,                0.37067,                0.80008,              0.0010258,              0.0010258,              0.0010258
                     59,                0.66716,                0.38784,                0.83282,                0.99133,                 0.9889,                0.99309,                0.89063,                0.60181,                0.36896,                0.80059,              0.0010187,              0.0010187,              0.0010187
                     60,                0.64457,                0.37799,                0.82844,                0.98884,                0.98855,                0.99314,                0.88245,                0.61143,                0.37552,                0.80166,              0.0010117,              0.0010117,              0.0010117
                     61,                0.61875,                0.39308,                0.84005,                0.98603,                0.98968,                 0.9928,                0.88932,                0.58872,                0.36479,                0.79942,              0.0010046,              0.0010046,              0.0010046
                     62,                0.65056,                0.38739,                0.82962,                0.99158,                0.97775,                 0.9927,                 0.8846,                0.59767,                0.36183,                0.79986,             0.00099751,             0.00099751,             0.00099751
                     63,                0.65435,                0.39071,                0.83707,                0.99233,                0.98138,                 0.9927,                0.87767,                 0.6181,                0.37874,                    0.8,             0.00099044,             0.00099044,             0.00099044
                     64,                0.63819,                0.40867,                0.84888,                0.99422,                0.98677,                0.99319,                0.87902,                0.61756,                 0.3718,                0.79919,             0.00098337,             0.00098337,             0.00098337
                     65,                0.68711,                0.39471,                0.82177,                0.99373,                 0.9862,                0.99327,                0.87279,                0.62151,                0.37541,                0.80287,             0.00097629,             0.00097629,             0.00097629
                     66,                0.67308,                0.39655,                0.83934,                0.99305,                0.98807,                0.99345,                0.87795,                0.60855,                0.38307,                0.80165,             0.00096922,             0.00096922,             0.00096922
                     67,                0.66328,                0.38411,                0.83747,                0.99574,                 0.9916,                0.99339,                0.87587,                0.64745,                0.39045,                  0.802,             0.00096215,             0.00096215,             0.00096215
                     68,                0.67175,                0.39821,                0.84904,                0.99314,                0.99199,                0.99308,                 0.8779,                0.63061,                 0.3819,                0.79784,             0.00095507,             0.00095507,             0.00095507
                     69,                0.66095,                0.39179,                0.84052,                0.99132,                0.98661,                0.99291,                 0.8862,                0.59909,                 0.3682,                0.79757,               0.000948,               0.000948,               0.000948
                     70,                0.64994,                0.39196,                 0.8312,                0.99187,                0.99038,                0.99299,                0.89313,                0.59455,                0.36411,                0.80016,             0.00094093,             0.00094093,             0.00094093
                     71,                0.61365,                0.37803,                0.82922,                0.98225,                 0.9909,                0.99321,                0.89165,                0.58245,                0.35611,                0.80002,             0.00093385,             0.00093385,             0.00093385
                     72,                0.63091,                0.37806,                0.83574,                0.97423,                 0.9895,                0.99351,                0.88967,                0.58471,                0.35996,                0.79826,             0.00092678,             0.00092678,             0.00092678
                     73,                0.62581,                0.36509,                0.83594,                0.97099,                0.99041,                0.99355,                0.89115,                0.59091,                0.36222,                0.79635,              0.0009197,              0.0009197,              0.0009197
                     74,                0.62491,                 0.3647,                0.82787,                0.97724,                0.99039,                0.99364,                0.89822,                0.59105,                0.35432,                0.79797,             0.00091263,             0.00091263,             0.00091263
                     75,                0.63325,                 0.3721,                  0.824,                0.98867,                0.99443,                  0.994,                0.88643,                0.58736,                0.35483,                0.79713,             0.00090556,             0.00090556,             0.00090556
                     76,                 0.6508,                0.37978,                0.83028,                0.99196,                 0.9913,                 0.9939,                0.88826,                0.60037,                0.35946,                0.79594,             0.00089848,             0.00089848,             0.00089848
                     77,                0.64827,                0.37908,                0.82413,                0.99206,                 0.9909,                0.99378,                0.88835,                0.60151,                0.35128,                0.79602,             0.00089141,             0.00089141,             0.00089141
                     78,                0.65136,                0.37958,                0.82562,                0.99196,                0.99157,                0.99388,                0.88909,                 0.5843,                0.35293,                0.79431,             0.00088434,             0.00088434,             0.00088434
                     79,                0.63608,                0.37655,                0.83327,                0.98982,                 0.9877,                 0.9938,                0.89392,                0.57607,                0.35119,                0.78972,             0.00087726,             0.00087726,             0.00087726
                     80,                0.61512,                0.36791,                0.83212,                0.98763,                0.98619,                 0.9936,                0.89696,                0.56515,                0.34298,                0.78865,             0.00087019,             0.00087019,             0.00087019
                     81,                0.62612,                0.36183,                0.82647,                0.99023,                 0.9879,                0.99372,                0.89236,                0.58358,                0.34097,                0.79415,             0.00086312,             0.00086312,             0.00086312
                     82,                0.62428,                0.36212,                0.83504,                0.98643,                0.99042,                0.99389,                0.89618,                0.56476,                0.34036,                0.79271,             0.00085604,             0.00085604,             0.00085604
                     83,                0.62853,                0.37294,                0.83159,                0.98775,                0.98638,                0.99408,                0.89398,                0.55091,                0.33743,                0.79165,             0.00084897,             0.00084897,             0.00084897
                     84,                0.62432,                 0.3702,                0.82436,                 0.9813,                0.98625,                0.99389,                0.89344,                0.58279,                0.34488,                0.79421,              0.0008419,              0.0008419,              0.0008419
                     85,                0.65897,                0.37308,                0.83424,                0.98157,                0.98667,                0.99365,                0.89542,                0.57231,                0.34441,                0.79382,             0.00083482,             0.00083482,             0.00083482
                     86,                0.62014,                0.37132,                0.82941,                0.98376,                0.98589,                0.99372,                0.89959,                0.56122,                0.33861,                0.79129,             0.00082775,             0.00082775,             0.00082775
                     87,                 0.6263,                0.36768,                0.82529,                0.98941,                 0.9895,                0.99398,                0.89835,                0.55947,                0.33232,                0.78992,             0.00082067,             0.00082067,             0.00082067
                     88,                0.62691,                0.36135,                0.84239,                0.99004,                 0.9895,                0.99406,                0.89705,                0.57615,                0.33547,                0.79157,              0.0008136,              0.0008136,              0.0008136
                     89,                0.59988,                0.34992,                0.82775,                 0.9935,                0.98899,                0.99409,                0.90528,                 0.5525,                0.33015,                0.79361,             0.00080653,             0.00080653,             0.00080653
                     90,                0.62827,                0.37155,                0.83095,                0.99233,                0.98801,                0.99394,                 0.9017,                0.56825,                0.33196,                0.79534,             0.00079945,             0.00079945,             0.00079945
                     91,                0.60802,                0.35317,                0.81689,                0.98708,                 0.9881,                0.99355,                 0.9014,                0.54377,                0.32719,                0.79332,             0.00079238,             0.00079238,             0.00079238
                     92,                0.58261,                0.35245,                0.83198,                0.99088,                0.99045,                 0.9936,                0.90231,                0.55102,                 0.3253,                0.79465,             0.00078531,             0.00078531,             0.00078531
                     93,                0.58376,                 0.3449,                0.81883,                0.99268,                0.98836,                0.99386,                0.90521,                0.53921,                0.32429,                0.79361,             0.00077823,             0.00077823,             0.00077823
                     94,                  0.598,                0.35161,                0.82118,                0.99169,                0.98838,                0.99365,                0.90705,                0.54296,                0.32446,                0.79245,             0.00077116,             0.00077116,             0.00077116
                     95,                0.59014,                0.35849,                0.82064,                0.99264,                0.98669,                 0.9936,                0.90452,                 0.5501,                 0.3289,                 0.7895,             0.00076409,             0.00076409,             0.00076409
                     96,                0.60667,                0.35667,                0.81357,                0.99368,                0.98669,                0.99355,                0.90222,                0.56138,                0.32683,                0.78955,             0.00075701,             0.00075701,             0.00075701
                     97,                0.59658,                0.35646,                 0.8198,                0.99326,                0.98739,                0.99339,                0.90439,                0.54034,                0.33512,                0.78675,             0.00074994,             0.00074994,             0.00074994
                     98,                0.59112,                0.37095,                0.82984,                0.99315,                 0.9877,                 0.9933,                0.90657,                0.53258,                0.32852,                0.78699,             0.00074287,             0.00074287,             0.00074287
